Timestamp,Country,Where do you currently work?,What are your main professional responsibilities?,... that had a docker-compose.yml file?,... where you have used docker-compose.yml files created by others (colleagues or third parties)?,... where you created/updated a docker-compose.yml file?,"In the docker-compose.yml files I have developed, I have at some point specified ...","When I write a docker-compose.yml file, I spend considerable time… [reading Docker documentation.]","When I write a docker-compose.yml file, I spend considerable time… [finding out what are the keys that I need.]","When I write a docker-compose.yml file, I spend considerable time… [finding out what images are available.]","When I write a docker-compose.yml file, I spend considerable time… [trying to understand why the services are not working as intended.]","When I write a docker-compose.yml file, I spend considerable time… [(re)starting the services to confirm that they are working as intended.]","When I write a docker-compose.yml file, I spend considerable time… [configuring the properties of each service (e.g. port mapping, name, ...).]","When I write a docker-compose.yml file, I spend considerable time… [configuring the dependencies between the services (e.g. depends_on).]","When I write a docker-compose.yml file, I spend considerable time… [configuring volumes and how they are attached to the services.]","When I write a docker-compose.yml file, I spend considerable time… [configuring networks and how they are connected to the services.]","When I write a docker-compose.yml file, I spend considerable time… [configuring configs and how they are accessed by the services.]","When I write a docker-compose.yml file, I spend considerable time… [configuring secrets and how they are accessed by the services.]",What steps or strategies do you usually follow in order to diagnose and fix bugs in the creation of docker-compose.yml files?,Do you use any plugins/tools when developing docker-compose.yml files?,"If so, which ones and how do they help you?","When I read a docker-compose.yml file, I spend considerable time trying to understand … [ what the services are.]","When I read a docker-compose.yml file, I spend considerable time trying to understand … [the dependencies between services (e.g. depends_on).]","When I read a docker-compose.yml file, I spend considerable time trying to understand … [what volumes are used and how they are attached to the services.]","When I read a docker-compose.yml file, I spend considerable time trying to understand … [what networks are used and how they are connected to the services.]"
6/9/2020 12:28:17,Portugal,Academia,"Software Development, Scientific Research, Teaching",2,2,1,...secrets.,4,4,4,4,4,4,4,4,4,4,4,deploy-test-debug-correct-redeploy-...,No,,2,2,2,2
6/9/2020 15:16:20,The Netherlands,Industry,Coaching,6,6,6,"... volumes., ... networks., ...configs.",3,3,3,3,3,3,3,3,3,3,3,"Don't use docker-compose much, mostly k8s",No,,3,3,3,3
6/10/2020 14:53:34,Chile,"Industry, Academia","Software Development, Scientific Research",3,0,3,... networks.,4,4,3,4,4,4,4,4,4,4,4,Manual check,No,,2,2,2,2
6/11/2020 14:51:57,USA,Industry,"Software Development, Coaching",1,1,1,"... volumes., ... networks., ...configs.",5,3,2,4,5,2,2,2,2,1,1,same as above,No,,2,2,4,3
6/15/2020 18:12:12,India,Industry,"Software Development, Operations",4,4,4,"... volumes., ... networks., ...configs., ...secrets.",3,3,3,3,3,3,3,3,3,3,3,no comments,No,,3,3,3,3
6/15/2020 18:28:30,Brazil,Industry,"Software Development, Operations",4,4,4,... volumes.,3,2,2,2,3,3,1,1,1,1,1,,No,,3,3,3,3
6/15/2020 18:53:29,Denmark,Academia,"Scientific Research, Teaching",3,3,3,"... volumes., ... networks.",2,2,2,3,3,3,3,2,2,2,2,Read logs,No,,2,2,2,2
6/15/2020 19:04:50,Portugal,Industry,Operations,3,3,3,"... volumes., ... networks., ...configs., ...secrets.",4,4,4,4,4,4,3,3,4,4,4,"Check logs, jump into the container",No,,4,3,3,3
6/15/2020 19:07:36,Portugal,Industry,Software Development,2,2,2,"...configs., ...secrets.",2,3,3,3,5,3,4,4,3,4,4,Start a new shell on the container cluster,No,,3,4,4,3
6/15/2020 19:12:01,Germany,Academia,Scientific Research,5,5,4,"... volumes., ... networks.",3,4,2,4,3,4,3,4,4,3,3,,No,,3,3,4,4
6/15/2020 19:38:54,Portugal,Industry,Operations,1,2,1,...configs.,4,4,4,4,3,3,4,4,4,4,4,,No,,4,3,4,4
6/15/2020 20:19:02,United Kingdom,Industry,"Software Development, Coaching",4,4,4,"... volumes., ... networks., ...configs., ...secrets.",4,4,2,2,2,2,2,2,5,3,2,Same as for docker files,Yes,Vscode: no reason just yaml syntax auto indent,1,3,2,2
6/15/2020 20:40:49,Portugal,Industry,Operations,5,5,5,"... volumes., ... networks., ...configs.",4,3,2,3,1,3,2,4,2,3,3,Stackoverflow :),No,,2,1,2,3
6/15/2020 20:51:59,Portugal,Industry,"Software Development, Operations, DevOps",3,3,3,"... volumes., ... networks., ...configs.",4,4,3,3,3,4,2,4,2,3,1,Launching the containers individually at first,Yes,VSCode syntax highlighting,2,2,2,2
6/15/2020 21:10:04,USA,Industry,Software Development,5,5,5,"... volumes., ... networks.",3,4,3,5,5,5,5,5,5,3,3,Reading the error messages and googling them,No,,5,5,3,3
6/15/2020 21:18:13,USA,Online Retail,"Software Development, Operations, Coaching",0.2,0,0.2,"... volumes., ... networks.",5,3,4,5,2,3,1,2,4,1,1,Trial by fire right now. :(,No,,4,5,2,2
6/15/2020 21:30:09,Italy,Industry,Software Development,4,3,4,"... volumes., ... networks.",3,3,4,3,5,5,5,5,5,3,3,,No,,5,5,5,5
6/15/2020 23:23:36,Morocco,IT company,"Software Development, Operations",3,4,3,"... volumes., ... networks., ...configs., ...secrets.",3,4,4,4,3,2,3,3,3,3,3,,No,,2,3,3,2
6/15/2020 23:59:27,Israel,Industry,"Software Development, Operations, Coaching",0.5,0,0.5,...configs.,5,5,3,2,3,4,5,3,3,4,4,Rerrun the system,No,,3,3,4,3
6/16/2020 0:39:31,USA,Industry,"Software Development, Operations",4,4,4,"... volumes., ... networks.",3,1,1,1,3,3,2,3,1,1,1,install a yaml linter,No,,1,1,1,1
6/16/2020 0:45:07,Canada,Industry,"Software Development, Coaching",3,3,3,"... volumes., ... networks., ...configs.",4,4,4,5,5,4,4,4,3,3,3,Same as with Dockerfile; build run repeat until it all functions as expected.,Yes,"IntelliJIdea Docker / Docker Compose support (PHPStorm, RubyMine)",2,3,2,2
6/16/2020 6:25:58,Denmark,Academia,"Software Development, Scientific Research, Teaching",2,2,2,"... volumes., ... networks., ...configs.",3,4,5,4,4,3,3,4,4,4,1,Logging,No,,4,4,5,4
6/16/2020 7:07:41,Spain,Industry,"Software Development, Operations, Product Management",5,5,5,"... volumes., ... networks., ...configs., ...secrets.",2,3,5,5,2,4,3,4,4,4,4,"Making test end-2-end. If the output is not correct with a determined input, something was wrong. Of course, reading logs.",No,,4,5,4,4
6/16/2020 8:11:44,Germany,Industry,Operations,6,6,6,"... volumes., ... networks.",4,4,4,2,2,3,4,5,2,3,3,-,No,-,2,2,4,3
6/16/2020 9:10:47,Denmark,Industry,"Software Development, Operations, Quality Assurance",3,3,3,"... volumes., ... networks., ...configs.",4,3,4,5,5,4,3,5,4,4,3,"same as previous answer, check logs and general linux commands to debug it.",No,,4,4,4,4
